grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
DV-98,33,45,663.64,64.62,18,13,26671,4496
DW-98,41,58,1043.19,61.77,14,27,36111,4497
DX-98,20,40,857.28,65.94,9,11,26232,4498
DY-98,5,8,343.65,22.15,2,3,16680,4499
EB-98,1,1,89.15,14.85,1,0,24,4502
EC-98,2,2,150.6,5,1,0,87,4503
ED-98,1,1,4.3,0,0,1,125,4504
EG-98,2,2,132.6,15,2,0,65,4507
EH-98,2,7,114.1,0,1,1,2627,4508
EI-98,1,1,99.3,9,1,0,28,4509
EJ-98,2,2,137.26,22.87,2,0,1648,4510
EK-98,1,1,95.3,5,1,0,31,4511
EM-98,1,1,120.35,20.05,1,0,20,4513
EN-98,7,20,222.15,12.05,2,5,4778,4514
EO-98,2,2,265.6,137,2,0,580,4515
ET-98,3,6,328.79,20.14,3,0,337,4520
EU-98,2,3,60.1,0,1,1,1768,4521
EW-98,2,2,111.65,18.05,1,0,60,4523
EX-98,3,3,129.9,6,1,1,766,4524
FB-98,3,3,88.4,0,1,2,66,4528
FC-98,2,9,68.56,9.34,1,1,7650,4529
FD-98,1,1,63.3,0,0,0,2257,4530
FJ-98,1,1,100.3,15,1,0,40,4536
FV-98,1,1,170.3,0,1,0,155,4548
FW-98,2,2,307.66,30.31,1,1,213,4549
GE-98,1,1,3.3,0,0,0,15,4556
GK-98,1,1,0.3,0,0,0,118,4560
GN-98,1,1,222.3,15,1,0,33,4563
GZ-98,1,1,200.3,0,0,0,58,4566
HB-98,2,2,257.15,36.55,2,0,452,4567
P-97,2,2,75.65,15.05,1,0,41,4574
R-97,3,3,336.9,5,2,1,128,4575
T-97,2,2,120,14.4,2,0,5,4577
U-97,4,4,364.35,48.15,4,0,104,4578
V-97,5,5,602.9,46.9,3,1,692,4579
W-97,2,2,370.9,61.82,2,0,5358,4580
X-97,1,1,12.8,0,0,1,849,4581
Y-97,7,8,627.96,41.11,7,0,2414,4582
Z-97,1,1,6.8,0,0,1,326,4583
AA-97,2,4,308.29,59.74,2,0,107,4584
AB-97,3,3,25.06,3.16,2,1,1525,4585
AF-97,3,3,110.9,5,1,2,143,4589
AH-97,2,2,355.15,51.55,2,0,577,4591
AK-97,2,2,196.35,21,2,0,88,4594
AL-97,1,1,126.41,5,1,0,72,4595
AN-97,1,1,72.8,20,1,0,910,4597
AO-97,2,2,0,0,0,1,464,4598
AP-97,3,7,101.46,2.06,1,1,733,4599
AS-97,4,8,239.69,22.38,2,2,775,4602
AT-97,1,1,360.36,60.06,1,0,421,4603
AV-97,1,3,18.3,0,0,1,1276,4605
AW-97,2,2,56.1,0,0,1,2916,4606
AX-97,2,2,18.6,0,0,2,1138,4607
AY-97,2,4,69.6,0,1,1,134,4608
AZ-97,5,7,320.27,42.56,3,2,2897,4609
BB-97,1,1,14.3,2,1,0,752,4611
BD-97,10,12,825.06,116.31,7,2,3014,4613
BE-97,4,5,133.02,20.82,2,2,1009,4614
BF-97,1,1,9.75,1.95,1,0,434,4615
BG-97,17,24,1238.46,103.96,12,3,2651,4616
BH-97,4,8,494.3,33.56,4,0,579,4617
BJ-97,1,1,15.36,2.56,1,0,882,4619
BK-97,4,4,57.56,6.36,2,2,3551,4620
BN-97,2,3,353.89,80,2,0,3538,4622
BO-97,4,8,125.62,16.42,2,2,3770,4623
BP-97,9,10,475.63,41.91,4,5,12394,4624
BQ-97,16,22,384.22,88.41,7,8,7322,4625
BR-97,13,15,565.9,19.96,7,3,5126,4626
BS-97,19,22,748.7,33.5,8,7,3678,4627
BT-97,15,17,467.51,5.26,7,7,17542,4628
BU-97,20,23,567.53,74.52,8,6,13507,4629
BV-97,103,136,6040.42,640.41,81,15,22098,4630
BW-97,397,506,19344.8,2606.69,266,76,242250,4631
BX-97,300,364,16154.74,1808.22,203,72,252735,4632
BY-97,208,302,13113.19,1610.76,148,37,31425,4633
BZ-97,55,95,1014.78,104.66,31,24,55591,4634
CA-97,5640,9654,99031.48,11738.91,4378,1236,5626316,4635
CB-97,232021,386170,4092009.6,519389.57,182065,49259,234204106,4636
CC-97,869542,1462699,13432263.51,1564821.16,616928,249582,843940951,4637
CD-97,909773,1544928,14203757.62,1497901.16,586177,319305,940678847,4638
CE-97,444955,771914,7117982.82,674077.48,263286,178976,479070316,4639
CF-97,1406487,2424252,22440572.89,2545606.07,997413,401956,1371929056,4640
CG-97,141534,241866,2396210.52,268330.73,95966,44694,145494079,4641
CH-97,116459,188747,1724686.72,172776.88,73866,41962,101971979,4642
CI-97,1949,3199,32246.08,3297.78,1228,705,1949051,4643
CJ-97,3193,5446,57908.13,6910.11,2329,851,3736229,4644
CK-97,84038,142110,1372593.52,155628.61,56821,26680,85326300,4645
CL-97,33098,56158,553367.32,65720.8,22697,10176,33511028,4646
CM-97,11351,19401,196148.84,24636.16,8284,2985,11242688,4647
CN-97,10793,17802,185434.7,21529.73,7228,3471,10829346,4648
CO-97,467,834,7791.29,711.5,281,181,388183,4649
CP-97,17,24,304.09,32.99,12,5,18151,4650
CQ-97,19,31,367.21,49.89,8,11,18884,4651
CR-97,49,71,855.6,86.24,28,20,48579,4652
CS-97,104,142,1682.78,127.57,33,69,95028,4653
CT-97,249,391,4023.13,259.89,108,135,193819,4654
CU-97,153,263,2369.5,156,57,91,120524,4655
CV-97,33,58,579.46,58.48,13,19,27503,4656
CW-97,138,199,2354.14,177.8,55,80,109151,4657
CX-97,59,76,1399.94,114.33,34,24,40884,4658
CY-97,43,49,771.42,129.94,25,17,33996,4659
CZ-97,65,103,1263.59,151.85,26,36,59997,4660
DA-97,315,531,4777.88,334.22,155,156,299522,4661
DB-97,53,77,962.13,87.53,26,25,42440,4662
DC-97,98,156,1567.88,101.36,44,53,65573,4663
DD-97,1422,2255,25214.47,2415.91,668,732,1291988,4664
DE-97,872,1446,17468.19,1504.33,369,491,778538,4665
DF-97,2315,3815,75111.12,7347.03,1120,1154,2740497,4666
DG-97,1775,3037,70390.88,7091.72,994,750,2487639,4667
DH-97,243,394,13268.06,1371.31,156,85,561409,4668
DI-97,1087,1749,21469.18,1475.78,352,713,934396,4669
DJ-97,497,861,8058.88,568.64,179,307,436608,4670
DK-97,324,570,6103.32,405.88,106,209,406252,4671
DL-97,74,143,1447.95,99.86,35,38,66672,4672
DM-97,196,294,4973.59,608.62,112,79,227848,4673
DN-97,157,197,3286.66,299.97,82,70,146948,4674
DO-97,33,46,684.37,68.89,19,14,26121,4675
DP-97,90,140,2063.11,189.7,54,36,93802,4676
DQ-97,40,69,913.31,25.98,16,22,25003,4677
DR-97,56,83,1213.92,112.13,18,38,59756,4678
DS-97,233,290,4021.44,435.05,148,83,203878,4679
DT-97,14,14,376.2,12.72,4,6,10574,4680
DU-97,33,54,783.92,40.99,12,21,33415,4681
DV-97,30,47,675.74,90.92,16,13,29273,4682
DW-97,53,97,1100.25,51.31,22,30,44119,4683
DX-97,25,38,943.8,54.8,7,12,26343,4684
DY-97,10,13,229.02,16.58,3,5,4735,4685
DZ-97,7,7,208.83,20.69,4,3,7926,4686
EA-97,1,1,32.8,0,0,1,1220,4687
EB-97,1,1,72.35,12.05,1,0,19,4688
ED-97,1,1,0.3,0,0,1,175,4690
EE-97,2,3,76.6,0,1,1,3223,4691
EF-97,1,1,100.35,20.05,1,0,25,4692
EG-97,2,2,180.7,30.1,2,0,71,4693
EJ-97,3,5,318.54,22.1,3,0,2152,4696
EK-97,2,2,212.45,34.85,2,0,80,4697
EO-97,1,1,101.3,10,1,0,21,4701
EP-97,2,2,108.65,18.05,1,1,477,4702
ER-97,3,3,543.9,15,2,1,92,4704
ES-97,2,5,86.16,10.56,1,1,4390,4705
ET-97,3,5,235.6,4.7,2,1,57,4706
EU-97,1,1,110.3,10,1,0,1118,4707
EV-97,6,7,330.36,44.06,3,1,536,4708
EW-97,5,5,260.95,29.45,2,3,182,4709
EX-97,2,2,151.15,25.05,1,1,391,4710
FA-97,2,2,79.1,0,1,1,42,4713
FB-97,1,0,100.3,0,0,1,10,4714
FE-97,1,1,65.3,0,1,0,27,4717
FL-97,1,1,100.3,0,1,0,29,4724
FO-97,1,2,54.3,0,0,1,1113,4727
FP-97,1,1,85.3,0,0,1,1513,4728
FW-97,1,1,174.68,40.3,1,0,7059,4735
GA-97,2,2,4.1,0,0,1,123,4739
GM-97,1,2,159.06,14.46,1,0,156,4747
GZ-97,1,2,1.3,0,0,1,340,4754
HC-97,3,6,736.44,45,3,0,138,4757
M-96,1,1,118.8,0,0,0,74,4763
N-96,1,1,222.38,10,1,0,89,4764
P-96,1,1,126.3,0,1,0,25,4766
S-96,3,5,239.05,24.65,2,1,856,4769
T-96,1,1,100.3,0,0,1,20,4770
U-96,1,1,120.3,10,1,0,28,4771
V-96,3,4,277.6,6.2,2,1,59,4772
X-96,6,6,289.56,24.01,4,2,1720,4774
Y-96,4,5,154.81,5.26,4,0,1812,4775
AA-96,7,12,657.56,64.46,5,2,2207,4777
AB-96,2,2,259.6,88,2,0,89,4778
AC-96,2,2,277.69,46.09,2,0,203,4779
AD-96,6,9,557.19,16.56,5,1,744,4780
AE-96,3,4,322.48,10,3,0,124,4781
AF-96,1,2,92.3,0,1,0,48,4782
AH-96,1,2,128.3,10,1,0,128,4784
AI-96,3,3,20.22,3.32,2,0,1074,4785
AJ-96,2,2,94.11,0.01,1,1,29,4786
AK-96,2,2,241.65,31.05,2,0,161,4787
AL-96,1,1,107.3,0,0,0,28,4788
AO-96,1,1,28.8,0,0,1,1585,4791
AP-96,3,8,180.9,0,0,3,425,4792
AQ-96,2,2,0.6,0,0,2,114,4793
AR-96,4,5,31.2,0,0,1,949,4794
AS-96,1,1,22.56,3.76,1,0,700,4795
AY-96,2,3,96.65,16.05,1,1,104,4801
AZ-96,3,3,203.7,23.56,2,1,2172,4802
