grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
BV-76,17,32,1389.35,192.75,15,2,28795,8523
BW-76,4,5,300.37,86.38,3,1,5431,8524
BY-76,77,96,4831.75,574.61,49,23,104892,8525
BZ-76,11,14,888.5,98.2,7,4,55154,8526
CA-76,1,1,10.56,1.76,1,0,527,8527
CB-76,7,9,282.81,16.46,3,4,10798,8528
CC-76,25,34,2292.43,307.87,15,8,50037,8529
CD-76,19,26,1578.89,223.99,16,2,33337,8530
CE-76,30,39,2487.75,165.73,17,12,59533,8531
CF-76,75,100,5554.15,514.55,60,13,115260,8532
CG-76,132,173,8303.48,851.12,88,42,238512,8533
CH-76,351,475,29300.29,2724.22,242,101,683980,8534
CI-76,139,188,10590.33,958.19,104,33,228289,8535
CJ-76,4,5,91.36,9.62,2,2,4426,8536
CK-76,18,41,283.48,27.54,10,8,15621,8537
CL-76,6965,12022,143623.88,14462.17,4235,2686,7779189,8538
CM-76,112975,189734,2443719.59,231546.51,64767,47446,135868639,8539
CN-76,61559,102842,1484221.17,148152.3,37814,23372,78529209,8540
CO-76,31523,53424,701319.46,55879.27,16343,14913,39034486,8541
CP-76,9270,16814,251470.77,21138.03,4690,4485,15108967,8542
CQ-76,20552,34305,542934.83,45301.31,10669,9737,30928416,8543
CR-76,14381,23915,395116.87,27359.06,6979,7261,21715670,8544
CS-76,4123,7005,110745.47,4676.99,1506,2549,6313101,8545
CT-76,3682,6124,96853.85,3761.02,1412,2210,5777705,8546
CU-76,2321,3960,68849.87,2622.48,885,1400,3723842,8547
CV-76,2242,3741,71966.75,2562.94,870,1335,3896946,8548
CW-76,3484,5936,110520.21,4004.43,1164,2265,6001331,8549
CX-76,3648,6209,111022.22,2990.45,867,2721,5431921,8550
CY-76,5119,8613,165086.62,5825.14,1567,3487,9102798,8551
CZ-76,2196,3774,72892.52,3153.8,771,1388,3412768,8552
DA-76,1614,2742,54119,2605.19,688,899,2670002,8553
DB-76,2243,3856,77856.87,3805.72,925,1284,3759561,8554
DC-76,2202,3706,79082.48,3558.97,778,1381,3517424,8555
DD-76,1659,2782,59890.52,3429.04,743,885,2743960,8556
DE-76,408,762,14660.84,1159.95,223,179,792988,8557
DF-76,190,310,8283.3,350.84,69,116,314723,8558
DG-76,226,385,9745.45,617.07,104,122,389845,8559
DH-76,876,1533,36062.94,2415.95,410,454,1664460,8560
DI-76,886,1573,37001.72,2981.82,458,411,1959385,8561
DJ-76,278,476,12553.69,947.65,141,131,490447,8562
DK-76,62,108,3006.65,223.55,25,35,120238,8563
DT-76,4,6,315.93,45.19,3,1,10980,8564
DU-76,15,25,1089.18,91.1,7,8,37068,8565
DV-76,3,7,155.6,2.2,1,2,6999,8566
DW-76,14,22,1086.91,113.55,8,6,40013,8567
EB-76,6,8,495.5,31.7,4,2,10757,8568
EC-76,31,56,2601.22,323.6,24,6,76131,8569
ED-76,45,75,4133.82,692.2,42,2,102362,8570
EE-76,75,110,7074.29,1017.24,65,10,187055,8571
EF-76,25,47,2234.1,331.36,17,8,61891,8572
EG-76,27,43,2352.25,347.43,18,7,141294,8573
EH-76,8,10,684.2,82.8,4,4,18001,8574
EI-76,18,38,1456.48,157.96,11,5,43897,8575
EL-76,4,5,299.84,28.6,2,2,7565,8576
EM-76,16,26,1755.65,315.81,13,3,45007,8577
EN-76,15,23,1335.73,83.57,11,4,32250,8578
EO-76,5,5,504.92,12.88,4,1,7330,8579
EP-76,10,13,1175.74,115.58,8,2,29656,8580
EQ-76,5,6,467.65,18.65,1,4,15496,8581
ER-76,6,9,503.54,40.2,4,2,15987,8582
ES-76,5,5,636.98,110.36,4,1,16911,8583
ET-76,4,4,290.2,0,1,3,5235,8584
EU-76,16,29,1890.16,51.96,5,11,132536,8585
EV-76,3,5,308.6,10.7,3,0,6448,8586
EW-76,1,1,107.75,17.95,1,0,1985,8587
EX-76,3,7,252.9,0,0,3,9791,8588
EZ-76,2,8,243.1,15,2,0,4486,8590
FB-76,1,3,80.3,5,1,0,56,8591
FC-76,1,4,127.34,0,0,1,3240,8592
FG-76,1,1,118.3,0,1,0,3240,8594
FH-76,4,6,376.2,5,1,3,12081,8595
FI-76,4,8,453.88,86.14,4,0,9297,8596
FJ-76,9,8,1098.28,115.91,5,4,28012,8597
FK-76,47,65,5895.61,713.7,35,10,212100,8598
FL-76,4,6,520.1,104.4,3,1,12593,8599
FM-76,2,7,230.64,18,1,1,6970,8600
FN-76,4,6,652.36,24.16,2,2,9790,8601
FO-76,7,9,938.8,63.2,6,0,15465,8602
FQ-76,6,6,694.23,69.39,4,2,16024,8603
FR-76,4,9,454.06,58.32,2,0,10685,8604
FS-76,3,3,468.74,61.3,3,0,12908,8605
FT-76,10,13,1501.51,189.43,6,1,24269,8606
FU-76,2,6,272.64,50,1,1,5052,8607
FV-76,1,1,139.8,10,1,0,2622,8608
FX-76,5,6,767.66,39.16,2,3,18699,8610
FZ-76,5,6,672.7,45.2,3,2,9232,8612
GA-76,3,5,441.45,53.51,3,0,13022,8613
GB-76,4,4,635.95,72.21,4,0,12543,8614
GD-76,3,7,347.65,45.25,2,1,8787,8615
GF-76,3,3,555.6,69.7,3,0,9814,8616
GJ-76,2,2,205.64,0,0,2,6505,8617
GK-76,1,1,187.34,0,0,1,5011,8618
GL-76,3,7,308.44,0,2,1,9314,8619
GN-76,1,1,120.36,20.06,1,0,18,8620
GS-76,1,1,170.84,15,1,0,4640,8621
GT-76,2,2,158.6,10,1,0,26,8622
GW-76,1,1,160.3,0,1,0,3109,8623
GX-76,1,1,106.3,1,1,0,2703,8624
HC-76,4,4,409.7,10,1,1,6798,8625
HE-76,1,2,252.8,200,1,0,74,8627
HI-76,2,2,448.96,50.86,2,0,8121,8628
HJ-76,2,4,131.6,0,0,2,5932,8629
HK-76,2,2,375.1,20,1,1,6833,8630
HM-76,2,2,230.6,20,1,0,5492,8631
HQ-76,1,5,193.3,0,0,1,2880,8632
HS-76,1,1,260.76,43.46,1,0,2852,8633
HT-76,1,2,243.96,40.66,1,0,3774,8634
HY-76,2,2,355.39,45.79,2,0,6510,8635
IB-76,2,2,322.6,0,1,1,9582,8636
A-75,1,2,144.35,24.05,1,0,67,8637
B-75,6,7,816.2,124.85,5,0,22464,8638
F-75,33,41,6462.1,553.01,30,2,132858,8639
G-75,2,4,190.6,20,1,1,8007,8640
M-75,1,1,137.59,0,0,1,4083,8641
U-75,1,3,168.09,0,1,0,3793,8642
Y-75,1,1,190.8,15,1,0,1909,8643
Z-75,1,2,139.55,0,0,1,3251,8644
AA-75,1,4,6,1.2,1,0,167,8645
AE-75,1,2,110.8,0,0,1,6074,8646
AH-75,4,7,396.65,33.95,3,1,10128,8647
AI-75,3,3,412.69,76.04,3,0,7302,8648
AJ-75,1,3,126.96,21.16,1,0,2094,8649
AK-75,2,2,236.64,5,1,1,8598,8650
AL-75,15,19,2008.13,234.3,14,1,38764,8651
AM-75,4,4,272.47,19.26,2,1,90527,8652
AN-75,6,9,830.71,111.97,6,0,17193,8653
AO-75,4,4,412.4,43,3,1,11003,8654
AP-75,5,6,657.8,70.01,4,1,12447,8655
AQ-75,5,7,639.93,94,4,0,16615,8656
AR-75,12,19,1114.32,53.17,3,8,27908,8657
AS-75,8,16,1161.05,169.95,7,1,27504,8658
AT-75,12,12,1497.6,165.3,9,3,34660,8659
AU-75,32,44,3442.13,348.21,20,12,80461,8660
AV-75,37,44,3536.36,464.6,26,3,63471,8661
AW-75,49,60,5858.35,642.9,44,5,111209,8662
AY-75,12,13,1398.68,184.29,10,2,15628,8663
AZ-75,15,19,1852.93,206.35,12,1,24210,8664
BA-75,3,7,279.66,26.26,2,1,6564,8665
BB-75,8,16,906.24,77.55,7,1,16127,8666
BC-75,8,8,831.34,68.64,6,2,13380,8667
BD-75,1,1,34.56,5.76,1,0,1913,8668
BE-75,9,10,886.9,51.62,7,2,18301,8669
BF-75,5,6,408.36,39.82,3,2,7781,8670
BG-75,15,28,1000.68,130.18,11,3,21942,8671
BH-75,18,31,1390.93,124.25,10,6,30321,8672
BI-75,7,8,806.29,161.4,7,0,14998,8673
BJ-75,12,26,910.14,75.71,5,5,25709,8674
BK-75,16,22,1604.91,248.08,14,2,35220,8675
BL-75,39,44,3547.08,498.98,36,2,82784,8676
BM-75,55,79,4896.4,672.99,45,8,124331,8677
BN-75,164,204,10104.52,1255.48,126,25,201296,8678
BO-75,32,61,2287.7,249.33,19,12,51349,8679
BP-75,51,83,4522.22,372.3,32,15,99049,8680
BQ-75,5,6,310.29,47.03,4,1,8713,8681
BR-75,4,6,308.65,27.7,3,1,6997,8682
BS-75,3,5,160.29,24.77,1,1,4566,8683
BT-75,3,6,249.4,18,2,1,6399,8684
BU-75,10,11,680.75,92.21,4,5,18224,8685
BV-75,13,24,1155.54,88.87,8,4,27286,8686
BW-75,3,7,245.76,33.31,3,0,3379,8687
BX-75,4,4,105.15,1.95,2,2,2533,8688
BZ-75,2,6,104.99,15.85,1,1,4655,8689
CA-75,8,9,311.49,23.55,3,5,10428,8690
CB-75,11,17,1150.82,221.32,9,2,23202,8691
